"month","date","State","Expected","Population","Observed","monthlyxs","sumxs","correctedpopulation","irxsuncorrected","irxscorrected","expcorr","xscorrMO","irxscorr"
201501,2015-01-01,"Alabama",4999,4850192.16666667,4999,0,0,,0,,,,
201501,2015-01-01,"Alaska",376,737865.416666667,376,0,0,,0,,,,
201501,2015-01-01,"Arizona",5049,6791169.58333333,5049,0,0,,0,,,,
201501,2015-01-01,"Arkansas",3130,2975159.91666667,3130,0,0,,0,,,,
201501,2015-01-01,"California",25192,38771966.8333333,25192,0,0,,0,,,,
201501,2015-01-01,"Colorado",3629,5411956.75,3629,0,0,,0,,,,
201501,2015-01-01,"Connecticut",2943,3591534.33333333,2943,0,0,,0,,,,
201501,2015-01-01,"Delaware",899,938342.5,899,0,0,,0,,,,
201501,2015-01-01,"District of Columbia",512,671426.083333333,512,0,0,,0,,,,
201501,2015-01-01,"Florida",17675,20066931.4166667,17675,0,0,,0,,,,
201501,2015-01-01,"Georgia",7538,10136624.25,7538,0,0,,0,,,,
201501,2015-01-01,"Hawaii",1066,1419805.66666667,1066,0,0,,0,,,,
201501,2015-01-01,"Idaho",1224,1644058.75,1224,0,0,,0,,,,
201501,2015-01-01,"Illinois",10402,12870212.9166667,10402,0,0,,0,,,,
201501,2015-01-01,"Indiana",6363,6605015.75,6363,0,0,,0,,,,
201501,2015-01-01,"Iowa",2988,3117583.5,2988,0,0,,0,,,,
201501,2015-01-01,"Kansas",2633,2907027,2633,0,0,,0,,,,
201501,2015-01-01,"Kentucky",4672,4424070.16666667,4672,0,0,,0,,,,
201501,2015-01-01,"Louisiana",4257,4658223,4257,0,0,,0,,,,
201501,2015-01-01,"Maine",1396,1329980.91666667,1396,0,0,,0,,,,
201501,2015-01-01,"Maryland",4795,5976668,4795,0,0,,0,,,,
201501,2015-01-01,"Massachusetts",5834,6783892.33333333,5834,0,0,,0,,,,
201501,2015-01-01,"Michigan",9313,9933462.16666667,9313,0,0,,0,,,,
201501,2015-01-01,"Minnesota",4144,5470944.91666667,4144,0,0,,0,,,,
201501,2015-01-01,"Mississippi",2893,2990923.08333333,2893,0,0,,0,,,,
